डबल शून्य	00
डबल ज़िरो	00
डबल जीरो	00
डबल नाट	00
डबल ज़ीरो	00
डबल नोट	00
डबल नॉट	00
डबल एक	11
डबल वन	11
डबल दोन	22
डबल टू	22
डबल तीन	33
डबल थ्री	33
डबल चार	44
डबल फोर	44
डबल पाच	55
डबल फाइव	55
डबल सहा	66
डबल सिक्स	66
डबल सात	77
डबल सेवेन	77
डबल सेवन	77
डबल आठ	88
डबल एट	88
डबल नऊ	99
डबल नाइन	99
ट्रिपल शून्य	000
ट्रिपल ज़िरो	000
ट्रिपल जीरो	000
ट्रिपल नाट	000
ट्रिपल ज़ीरो	000
ट्रिपल नोट	000
ट्रिपल नॉट	000
ट्रिपल एक	111
ट्रिपल वन	111
ट्रिपल दोन	222
ट्रिपल टू	222
ट्रिपल तीन	333
ट्रिपल थ्री	333
ट्रिपल चार	444
ट्रिपल फोर	444
ट्रिपल पाच	555
ट्रिपल फाइव	555
ट्रिपल सहा	666
ट्रिपल सिक्स	666
ट्रिपल सात	777
ट्रिपल सेवेन	777
ट्रिपल सेवन	777
ट्रिपल आठ	888
ट्रिपल एट	888
ट्रिपल नऊ	999
ट्रिपल नाइन	999
